"概要","説明","開催期間","開催地","目的","エリア","詳細URL"
"加太の昼市","プレミア和歌山認定の「加太のマダイ」が水揚げされる加太港。生簀で泳ぐ魚を必要に応じてその場でさばいてくれます。加太の豊富な海の幸を鮮度・味ともに最高の状態で持ち…","10月1日（土）、※毎月第1土曜日開催（1月開催なし）","加太大波止近く","食べる / お土産・逸品","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=10976"
"第11回わかやま城下町バル","事前にチケットを購入。参加飲食店舗にておすすめ一品料理と飲み物を飲食し、店をはしごするイベントです。イベント当日に使いきれなかったチケットは、バル翌日から10月…","10月1日（土）","和歌山市内のバル参加店舗","食べる","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=10977"
"加太サンセットライブ in 竹燈夜","秋の風物詩「まちなかキャンドルイルミネーション・竹燈夜」の一環で加太浜グランドにて行われる竹燈夜は今年で6回目を迎えます。ライブイベントと美味しい加太グルメを楽…","10月1日（土）※荒天中止","加太浜グランド","観る / 食べる","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=10978"
"自然観察会","秋の里山を散策しながら野鳥や植物の観察をします。","10月1日（土）","和歌山県森林公園根来山げんきの森","","岩出市","https://www.wakayama-kanko.or.jp/event/detail.php?id=10979"
"黒河道（くろこみち）世界遺産登録祈念　第2回はしもと歴史いきいきウォーク","ファミリーコース　７㎞　【お子様・ファミリー大歓迎！】（橋本市民会館前－定福寺－くにぎふれあいの里－橋本市民会館前）　　　　　スペシャルコース１５㎞　【中学生以…","10月1日（土）","集合場所：橋本市民会館前","世界遺産","橋本市","https://www.wakayama-kanko.or.jp/event/detail.php?id=10980"
"広八幡神社秋祭り","神馬、御神輿、広八幡神社の祭礼に奉納されるシッパラ踊り（広八幡神社の田楽）は雨乞い祈願として行われ、田植えから収穫までの過程を表現する踊りで県指定無形民俗文化財…","10月1日(土)","広八幡神社","観る","広川町","https://www.wakayama-kanko.or.jp/event/detail.php?id=10981"
"第48回田辺花火大会","弁慶まつりと同日開催。まつりのフィナーレに約3，000発を打ち上げます。見所は県内唯一の2尺玉の大花火！扇ヶ浜の夜空いっぱいに打ち上がります。","10月1日（土）","扇ヶ浜","観る","田辺市","https://www.wakayama-kanko.or.jp/event/detail.php?id=10982"
"まちなかイロドリ","まちなかの空き店舗や空き家に２日間限定で素敵なお店がオープンします。様々な色鮮やかな新しいお店を開くことで、まちなかを彩り、盛り上げていきます。","10月1日（土）、2日（日）","和歌山市営京橋駐車場周辺","観る / お土産・逸品","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=10984"
"第11回和歌山城まちなかキャンドルイルミネーション・竹燈夜","和歌山城を中心としたまちなかを、約8，000本の竹燈篭のあたたかな光でコーディネ―トします。幻想的な竹灯りに包まれて･･･しっとりゆったり過ごす秋の夜。当日、来…","10月1日（土）、2日（日）※雨天中止","和歌山城とその周辺","観る / 遊び・体験","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=10985"
"秋季結縁潅頂","伽藍・金堂内にて目隠しをして曼荼羅に花を投げ、花の落ちた場所に描かれた仏様と縁を結ぶことができる秘密秘伝の儀式に一般信者が参加できます。","10月1日（土）～3日（月）","壇上伽藍金堂","観る","高野町","https://www.wakayama-kanko.or.jp/event/detail.php?id=10986"
